Date,Open,High,Low,Close*,Adj Close**
1986-07-24,1568.6,1568.6,1547.7,1547.7,1547.7
1986-07-23,1566.1,1574,1566.1,1572.3,1572.3
1986-07-22,1560.2,1566.3,1556.7,1559.2,1559.2
1986-07-21,1576.9,1576.9,1559,1560.2,1560.2
1986-07-18,1608,1608,1584.4,1584.4,1584.4
1986-07-17,1600,1609.4,1600,1609.3,1609.3
1986-07-16,1593,1597.5,1588.5,1597.3,1597.3
1986-07-15,1595.4,1595.4,1585.4,1593,1593
1986-07-14,1621.9,1621.9,1597.3,1597.3,1597.3
1986-07-11,1626.7,1628.2,1623.9,1626.4,1626.4
1986-07-10,1621.4,1632,1621.4,1626.7,1626.7
1986-07-09,1600.8,1614.9,1600.8,1614.6,1614.6
1986-07-08,1615.2,1615.2,1597.5,1599,1599
1986-07-07,1645.7,1645.7,1631,1631,1631
1986-07-04,1653.9,1653.9,1647.8,1649.4,1649.4
1986-07-03,1656.7,1660.3,1653.7,1656.2,1656.2
1986-07-02,1660.8,1661.9,1656.2,1656.7,1656.7
1986-07-01,1652.5,1663.6,1652.5,1660.8,1660.8
1986-06-30,1639.1,1649.8,1637.2,1649.8,1649.8
1986-06-27,1637.5,1639.1,1635.5,1639.1,1639.1
1986-06-26,1630.2,1637.9,1630.2,1637.5,1637.5
1986-06-25,1629,1633.4,1629,1629.4,1629.4
1986-06-24,1622.8,1625.1,1620.1,1624.9,1624.9
1986-06-23,1637.2,1640.3,1622.6,1622.8,1622.8
1986-06-20,1629.6,1637.3,1629.5,1637.2,1637.2
1986-06-19,1626.7,1631.3,1626.7,1629.6,1629.6
1986-06-18,1606.3,1619.3,1606.3,1619,1619
1986-06-17,1595,1605.7,1595,1605.3,1605.3
1986-06-16,1586.9,1595.4,1586.9,1593.6,1593.6
1986-06-13,1572.6,1582.4,1572.6,1582.4,1582.4
1986-06-12,1571.6,1581.7,1571.6,1571.8,1571.8
1986-06-11,1585.7,1585.7,1563.2,1571.4,1571.4
1986-06-10,1595.8,1595.8,1582.5,1586.4,1586.4
1986-06-09,1611.9,1614,1604.6,1604.6,1604.6
1986-06-06,1612.6,1617.3,1605.6,1611.9,1611.9
1986-06-05,1601.4,1612.6,1599.8,1612.6,1612.6
1986-06-04,1602.2,1602.2,1597.9,1601.4,1601.4
1986-06-03,1599.2,1607.3,1599.2,1602.2,1602.2
1986-06-02,1602.8,1604.4,1594,1596.5,1596.5
1986-05-30,1609,1611,1598.2,1602.8,1602.8
1986-05-29,1622.8,1622.8,1606.7,1609,1609
1986-05-28,1616.8,1626.4,1616.8,1624.8,1624.8
1986-05-27,1616.3,1616.3,1607.1,1612.1,1612.1
1986-05-26,1617.4,1617.4,1617.4,1617.4,1617.4
1986-05-23,1606.8,1617.4,1606.8,1617.4,1617.4
1986-05-22,1591.9,1601.4,1589,1598.8,1598.8
1986-05-21,1585.9,1594.8,1585.9,1591.9,1591.9
1986-05-20,1579.8,1585.9,1579.8,1585.8,1585.8
1986-05-19,1566.3,1573.1,1566.3,1573.1,1573.1
1986-05-16,1565.7,1565.7,1554,1564.9,1564.9
1986-05-15,1594.3,1600.2,1575.1,1575.7,1575.7
1986-05-14,1606.9,1606.9,1592.7,1594.3,1594.3
1986-05-13,1612.5,1626.2,1612.5,1623.3,1623.3
1986-05-12,1601.6,1605.8,1600.4,1603.8,1603.8
1986-05-09,1602.6,1605.9,1593,1601.6,1601.6
1986-05-08,1610.1,1613,1588.8,1602.6,1602.6
1986-05-07,1634.8,1634.8,1610.1,1610.1,1610.1
1986-05-06,1652.5,1657.7,1636.1,1636.2,1636.2
1986-05-05,1652.5,1652.5,1652.5,1652.5,1652.5
1986-05-02,1645.7,1652.5,1645.7,1652.5,1652.5
1986-05-01,1645.4,1645.4,1628.1,1640.1,1640.1
1986-04-30,1656.3,1664.4,1652.2,1660.5,1660.5
1986-04-29,1635,1656.3,1635,1656.3,1656.3
